short_name,work_code
V1,305
V1,306
V1,307
V1,401
V1,503
V1,504
V1,505
V1,506
V1,507
V2,305
V2,504
V2,505
V2,506
V2,507
V3,301
V3,306
V3,402
V3,502
V3,503
V3,504
V3,505
V3,506
V3,507
V4,303
V4,307
V4,501
V4,503
V4,504
V4,505
V4,506
V4,507
V5,101
V5,102
V5,103
V5,104
V5,105
V5,201
V5,202
V5,204
V5,301
V5,303
V5,304
V5,305
V5,306
V5,307
V5,401
V6,101
V6,102
V6,103
V6,104
V6,105
V6,201
V6,202
V6,203
V6,204
V6,205
V6,206
V6,301
V6,302
V6,303
V6,304
V6,305
V6,306
V6,307
V6,401
V7,101
V7,102
V7,103
V7,104
V7,105
V7,202
V7,205
V8,101
V8,102
V8,103
V8,104
V8,105
V8,203
V8,205
V9,101
V9,102
V9,103
V9,104
V9,105
V9,401
V10,101
V10,102
V10,103
V10,104
V10,105
V10,401
V11,101
V11,102
V11,103
V11,104
V11,105
V11,301
V11,401
V12,101
V12,102
V12,103
V12,104
V12,105
V12,204
V12,301
V13,101
V13,102
V13,103
V13,104
V13,105
V13,205
V13,301
V13,303
V13,304
V13,305
V13,306
V13,307
V13,401
V14,101
V14,102
V14,103
V14,104
V14,105
V14,204
V14,205
V15,101
V15,102
V15,103
V15,104
V15,105
V15,204
V15,205
V15,301
V15,401
V16,101
V16,102
V16,103
V16,104
V16,105
V16,204
V16,205
V16,301
V16,401
V17,101
V17,102
V17,103
V17,104
V17,105
V17,204
V17,205
V17,301
V17,401
V18,101
V18,102
V18,103
V18,104
V18,105
V18,204
V18,205
V18,301
V18,401
V19,101
V19,102
V19,103
V19,104
V19,105
V19,204
V19,205
V19,301
V19,401
V20,101
V20,102
V20,103
V20,104
V20,105
V20,204
V20,205
V20,301
V20,401
V21,101
V21,102
V21,103
V21,104
V21,105
V21,204
V21,205
V21,301
V21,401
V22,101
V22,102
V22,103
V22,104
V22,105
V22,204
V22,205
V22,301
V22,401
V23,101
V23,102
V23,103
V23,104
V23,105
V23,204
V23,205
V23,301
V23,401
V24,101
V24,102
V24,103
V24,104
V24,105
V24,204
V24,205
V24,301
V24,401
